Year,mendelian randomisation[tiab] OR mendelian randomization[tiab],genome-wide association studies[tiab] OR genome-wide association study[tiab] OR genomewide association studies[tiab] OR genomewide association study[tiab] OR genome wide association studies[tiab] OR genome wide association study[tiab] OR GWAS[tiab] OR GWASs[tiab],systematic review[tiab],meta-analysis[tiab] OR meta analysis[tiab],"mediation analysis" [tiab] NOT "mendelian randomization" [tiab] NOT "mendelian randomisation" [tiab]
1945,0,0,0,0,0
1946,0,0,0,0,0
1947,0,0,0,0,0
1948,0,0,1.413167898478018,0,0
1949,0,0,6.365980201801573,0,0
1950,0,0,0,0,0
1951,0,0,0,0,0
1952,0,0,0,0,0
1953,0,0,0,0,0
1954,0,0,0.9439216167489453,0,0
1955,0,0,0.9211580799380982,0,0
1956,0,0,0,0,0
1957,0,0,0.896684062337476,0,0
1958,0,0,0,0,0
1959,0,0,0,0,0
1960,0,0,0,0,0
1961,0,0,0,0,0
1962,0,0,0,0,0
1963,0,0,0,0,0
1964,0,0,0,0,0
1965,0,0,0,0,0
1966,0,0,0,0,0
1967,0,0,0.5206353834219282,0,0
1968,0,0,0,0,0
1969,0,0,0,0,0
1970,0,0,0,0,0
1971,0,0,0.4471112144434807,0,0
1972,0,0,0.8773892405757429,0,0
1973,0,0,0.43260641036178876,0,0
1974,0,0,0,0,0
1975,0,0,1.6048659535712277,0,0
1976,0,0,0.3921107320707368,0,0
1977,0,0,0.7626776085480906,0.3813388042740453,0
1978,0,0,1.467302987062056,0,0
1979,0,0,1.063143644881672,0.35438121496055736,0
1980,0,0,2.8500279658994154,2.1375209744245613,0
1981,0,0,1.409964927122438,1.0574736953418284,0
1982,0,0,1.0141130736077073,3.7184146032282603,0
1983,0,0,2.584104527028118,5.814235185813266,0
1984,0,0,3.1415224446071055,4.7122836669106585,0
1985,0,0,1.4905706500676719,6.260396730284222,0
1986,0,0,1.7151727035981466,7.432415048925302,0
1987,0,0,1.6301734232826801,12.226300674620102,0
1988,0,0,1.0333113754666048,20.666227509332092,0
1989,0,0.24819746590387312,2.2337771931348582,29.28730097665703,0
1990,0,0,1.7031713049698538,37.46976870933678,0
1991,0,0,3.1452399213206137,53.71102019485971,0
1992,0,0.23916064181149838,2.630767059926482,68.87826484171153,0
1993,0,0,4.67551898260707,73.8731999251917,0
1994,0,0,9.334623484546645,88.79275997495589,0.22767374352552794
1995,0,0,12.017545616600236,106.15498627996875,0
1996,0,0,16.78236326188115,105.70709327288776,0
1997,0,0.4377363776439277,36.550987533267964,146.86055469953777,0
1998,0,0,56.44743437985753,135.85296707092576,0
1999,0,0.4049181356759197,74.10001882869331,151.43938274279398,0
2000,0,0.9387502980532195,101.57278224935835,179.67680704738623,0.18775005961064392
2001,0,1.8260370977696783,127.09218200476961,182.7863134867448,0
2002,0,1.9452294132834411,158.2709386262436,191.8703557647758,0.5305171127136658
2003,0.5045400192734287,2.018160077093715,175.74810671357767,223.0066885188555,0
2004,1.4067247696097434,2.8134495392194867,211.79022920235576,235.23564202918485,0.7815137608943018
2005,1.855753692949849,6.1382622151418085,251.383250252668,268.37053405736276,1.284752556657588
2006,1.1995329818257425,8.929856642480528,292.419484680631,297.3508980503591,1.1995329818257425
2007,1.9065558830594884,27.200197264982034,374.3204717073462,351.5689048361696,2.6691782362832837
2008,3.2248817543356743,67.84195690602455,416.00974630930205,394.27165448378,4.299842339114233
2009,4.101685336930663,129.31702381711952,489.5817192441961,458.249400698198,5.582849486377847
2010,4.5638595392624595,175.76166039578214,553.288366934307,526.7542998455717,6.368176101296455
2011,4.800923344930666,209.8689347926834,647.3408273460593,627.0593756644136,9.503868662413767
2012,7.062224619098457,225.1657329855417,771.8002619443313,771.4333931329495,11.281215949988445
2013,9.65141019275866,239.1115137845614,907.0586588365617,923.839939622169,16.34653257872638
2014,11.527702562052628,237.2716333095868,1058.5582410218688,1081.8624454818455,21.64554222083263
2015,14.46604017584982,240.83572380673053,1211.5706065960376,1204.0991352964227,29.091047826159528
2016,18.360343525139278,238.45107162945718,1376.714572122308,1260.2508676429286,34.15335087939044
2017,22.693312909351715,239.19978472019375,1570.131920214605,1364.2054388817717,42.39662850970101
2018,28.337373073724525,245.26995232218482,1700.2423844234713,1454.9724321012866,52.23547099229638
2019,38.55080001719634,259.777420225568,1910.414142716894,1581.9218595721918,59.20049728417719
2020,51.18277918835079,242.75260986474947,2120.4903553973763,1704.8130701319844,66.59854482484216
2021,68.69791713285774,271.0434922709249,2437.433427914179,1879.7943090376923,88.66954287913643
2022,92.78368443225528,280.20223926185923,2653.1421637895683,2017.1195434190058,112.36137842672754
2023,175.50567609747017,344.7664372347752,2698.510234296248,2040.0251917512921,123.36652760929928
2024,370.25028320201704,458.07602311227936,2816.1251513914185,2145.827586266473,159.35332611914467
2025,382.133983047674,447.06112573397866,3002.8350512350653,2268.282577420333,247.6291023384643
